model,headline_n,headline_attacks,headline_roc_auc,headline_pr_auc,headline_accuracy,headline_balanced_accuracy,headline_precision,headline_recall,headline_p@10,headline_r@10,headline_p@25,headline_r@25,headline_p@50,headline_r@50,clean_n,clean_attacks,clean_roc_auc,clean_pr_auc,clean_accuracy,clean_balanced_accuracy,clean_precision,clean_recall,clean_p@10,clean_r@10,clean_p@25,clean_r@25,clean_p@50,clean_r@50,flagless_n,flagless_attacks,flagless_roc_auc,flagless_pr_auc,flagless_accuracy,flagless_balanced_accuracy,flagless_precision,flagless_recall,flagless_p@10,flagless_r@10,flagless_p@25,flagless_r@25,flagless_p@50,flagless_r@50,flagless_worst_rank
KMeans,256,49,0.9447895100069014,0.8925001034726251,0.93359375,0.881050971113083,0.8478260869565217,0.7959183673469388,1.0,0.20408163265306123,0.96,0.4897959183673469,0.8,0.8163265306122449,234,27,0.9173376274825551,0.8122407796934253,0.9401709401709402,0.8534621578099839,0.7407407407407407,0.7407407407407407,1.0,0.37037037037037035,0.8,0.7407407407407407,0.46,0.8518518518518519,223,16,0.9085144927536232,0.7240539982995646,0.9461883408071748,0.8268417874396135,0.6111111111111112,0.6875,0.9,0.5625,0.52,0.8125,0.26,0.8125,146
IsolationForest,256,49,0.9903381642512077,0.9644576232377744,0.94921875,0.8907128068618753,0.9285714285714286,0.7959183673469388,1.0,0.20408163265306123,1.0,0.5102040816326531,0.88,0.8979591836734694,234,27,0.9856861692610485,0.9207068774898233,0.9572649572649573,0.8631239935587762,0.8695652173913043,0.7407407407407407,1.0,0.37037037037037035,0.84,0.7777777777777778,0.54,1.0,223,16,0.9858091787439613,0.8822083757745522,0.9641255605381166,0.8365036231884058,0.7857142857142857,0.6875,1.0,0.625,0.56,0.875,0.32,1.0,64
