track,model,headline_pr_auc,headline_precision,headline_recall,headline_p@10,headline_p@25,clean_pr_auc,clean_p@10,flagless_roc_auc,flagless_p@25,flagless_worst_rank,rulemiss_in_budget,rulemiss_median_rank,domain_gap
supervised,LightGBM,0.9734207624681138,0.7424242424242424,1.0,1.0,1.0,0.9398999147829002,1.0,0.9865640096618358,0.64,56.0,14.0,40.0,0.0265792375318861
unsupervised,IsolationForest,0.9644576232377744,0.9285714285714286,0.7959183673469388,1.0,1.0,0.9207068774898232,1.0,0.9858091787439612,0.56,64.0,14.0,30.0,
supervised,RandomForest,0.9209207911662444,0.7424242424242424,1.0,1.0,0.92,0.8920422182592755,1.0,0.9631642512077294,0.44,64.0,11.0,45.0,0.0790792088337555
unsupervised,KMeans,0.8925001034726251,0.8478260869565217,0.7959183673469388,1.0,0.96,0.8122407796934253,1.0,0.9085144927536232,0.52,146.0,13.0,33.0,
baseline,Wazuh rules (deployed),,0.9411764705882353,0.6530612244897959,,,,,,,,,,
