model,headline_n,headline_attacks,headline_roc_auc,headline_pr_auc,headline_accuracy,headline_balanced_accuracy,headline_precision,headline_recall,headline_p@10,headline_r@10,headline_p@25,headline_r@25,headline_p@50,headline_r@50,clean_n,clean_attacks,clean_roc_auc,clean_pr_auc,clean_accuracy,clean_balanced_accuracy,clean_precision,clean_recall,clean_p@10,clean_r@10,clean_p@25,clean_r@25,clean_p@50,clean_r@50,flagless_n,flagless_attacks,flagless_roc_auc,flagless_pr_auc,flagless_accuracy,flagless_balanced_accuracy,flagless_precision,flagless_recall,flagless_p@10,flagless_r@10,flagless_p@25,flagless_r@25,flagless_p@50,flagless_r@50,flagless_worst_rank,control_pr_auc,domain_gap
RandomForest,256,49,0.9815636399487331,0.9209207911662445,0.93359375,0.9589371980676329,0.7424242424242424,1.0,1.0,0.20408163265306123,0.92,0.46938775510204084,0.82,0.8367346938775511,234,27,0.9837180175344427,0.8920422182592755,0.9273504273504274,0.9589371980676329,0.6136363636363636,1.0,1.0,0.37037037037037035,0.8,0.7407407407407407,0.54,1.0,223,16,0.9631642512077294,0.5760351591425317,0.9237668161434978,0.9589371980676329,0.48484848484848486,1.0,0.5,0.3125,0.44,0.6875,0.32,1.0,64,1.0,0.07907920883375552
LightGBM,256,49,0.9935916395543725,0.9734207624681138,0.93359375,0.9589371980676329,0.7424242424242424,1.0,1.0,0.20408163265306123,1.0,0.5102040816326531,0.9,0.9183673469387755,234,27,0.9912327786723921,0.9398999147829002,0.9273504273504274,0.9589371980676329,0.6136363636363636,1.0,1.0,0.37037037037037035,0.92,0.8518518518518519,0.54,1.0,223,16,0.9865640096618358,0.8222279079616037,0.9237668161434978,0.9589371980676329,0.48484848484848486,1.0,0.8,0.5,0.64,1.0,0.32,1.0,56,1.0,0.02657923753188618
